|¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯|
X185PC weights:
(CF: 22990[0] - FG: SG11204): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 31.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 155000000000000.00 

(CF: 22865[0] - FG: 2363382172): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 28.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 140000000000000.00 

(CF: 22828[0] - FG: 6175289A): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 45.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 225000000000000.00 

(CF: 22440[0] - FG: SG22012): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 32.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 160000000000000.00 

(CF: 22531[0] - FG: SG21803): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 30.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 150000000000000.00 

(CF: 22890[0] - FG: 3000103B): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 47.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 235000000000000.00 

(CF: 22726[0] - FG: 6175819A): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 41.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 32031250000.00 

(CF: 22831[0] - FG: 6165288A): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 47.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 235000000000000.00 

(CF: 22935[0] - FG: SG12304): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 33.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 165000000000000.00 

(CF: 22794[0] - FG: 3023216): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 29.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 145000000000000.00 

(CF: 22863[0] - FG: 2363382176): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 28.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 140000000000000.00 

